category,category_id
American,1
Fast Food,2
Ice Cream,3
Mexican,4
Burger,5
Taco,6
Sandwich,7
Arcade/Entertainment,8
Italian,9
Pizza,10
Chicken,11
Gas Station,12
Bakery/Pastry,13
Hot Dog,14
Diner,15
Breakfast,16
Asian,17
Chinese,18
Wraps,19
Deli,20
Bodega,21
Burrito,22
Japanese,23
Coffee & Tea,24
Soup,25
Barbeque,26
Sushi,27
Fish,28
Seafood,29
Middle East,30
Wings,31
Mediterranean,32
Food Court,33
Karaoke,34
Family,35
Greek,36
Latin American,37
Caterer,38
Take Out,39
Grill,40
Brunch,41
Delivery,42
Beverage,43
Cocktail,44
Event,45
Poultry,46
Texan,47
Buffet,48
Frozen,49
Dessert,50
Bar,51
Health,52
Non Veg,53
Vegan,54
Indian,55
Salad,56
Bagel,57
Continental,58
Snack,59
Steak,60
Beef,61
Yogurt,62
Traditional,63
Cafe,64
Night,65
Gourmet,66
Peruvian,67
Lacto,68
Turkish,69
Other,70
