city_id,city
1,Southport
2,Buies Creek
3,Iva
4,Gwynn Oak
5,Littleton
6,Norwood
7,San Ramon
8,Victoria
9,Manvel
10,Connersville
11,Franklin Park
12,Cedar Rapids
13,Bay Saint Louis
14,Palm City
15,Osawatomie
16,Vernon
17,San Luis
18,Grass Valley
19,Brookshire
20,Little Rock Air Force Base
21,Asheboro
22,Buford
23,Keene
24,Round Lake
25,Hancock
26,Mount Gilead
27,Galesburg
28,Santa Monica
29,Litchfield Park
30,Ponchatoula
31,Beeville
32,Kewaskum
33,Smiths Grove
34,Magee
35,Tullahoma
36,Manitowoc
37,Copiague
38,Kershaw
39,Bentonville
40,Fond du Lac
41,Yates Center
42,Richburg
43,Port Huron
44,Fairless Hills
45,Bend
46,Chippewa Falls
47,Clover
48,Hamilton
49,Seguin
50,Taneytown
51,South Boston
52,Quartzsite
53,Hampton
54,Los Gatos
55,George West
56,Natrona Heights
57,Palmyra
58,New Market
59,Battle Creek
60,Richwood
61,Norwalk
62,New Braunfels
63,Mount Vernon
64,Augusta
65,Lordsburg
66,Plainview
67,Warrensburg
68,Muscatine
69,Bettendorf
70,Chula Vista
71,Peoria
72,Altus
73,Fall River
74,Harker Heights
75,Cordele
76,Marrero
77,Newland
78,Glastonbury
79,Rocklin
80,Thermopolis
81,Alabaster
82,South Charleston
83,Lenexa
84,Byron
85,Chester
86,Costa Mesa
87,Pomona
88,Cle Elum
89,Wheeling
90,Boston
91,Hereford
92,Altamonte Springs
93,La Puente
94,Castaic
95,Westborough
96,Pierre
97,Rexburg
98,Dardanelle
99,Lemon Grove
100,Jeannette
101,Allentown
102,Rutland
103,Piscataway
104,Macclenny
105,Cape Canaveral
106,Onalaska
107,Belle
108,Ardmore
109,Vernon Hills
110,Rockville
111,Grindstone
112,Arcadia
113,Mashpee
114,Chambersburg
115,Haleyville
116,San Carlos
117,Winamac
118,Alpena
119,Mantua
120,Hooksett
121,Sedalia
122,Chalmette
123,Belpre
124,Sumiton
125,Pemberton
126,Hallsville
127,Longview
128,Homestead
129,Dublin
130,Herndon
131,Lucedale
132,Santa Fe Springs
133,Maynard
134,Pinconning
135,Edmonds
136,Mission Viejo
137,Colmar
138,Rancho Santa Margarita
139,Conifer
140,Flower Mound
141,Malvern
142,Gilmer
143,Azle
144,Catoosa
145,Michigan City
146,Zion
147,Mount Pocono
148,Kingston Springs
149,Scott Depot
150,Fort Walton Beach
151,Borger
152,Livingston
153,Baldwin Park
154,New City
155,Fortville
156,Loxley
157,San Juan
158,Leavenworth
159,Beloit
160,North Canton
161,Davidson
162,Clemmons
163,Reno
164,Rayne
165,Sharpsburg
166,Lihue
167,North Hills
168,Huntington Park
169,Tuscola
170,Holmes
171,Hodgenville
172,Hope
173,Uncasville
174,Gold Canyon
175,Lower Lake
176,Placentia
177,Williamstown
178,Brownsburg
179,Edgewater
180,Framingham
181,Wahoo
182,Saint Simons Island
183,Rutherfordton
184,Ann Arbor
185,Fort Valley
186,Jackson Center
187,Front Royal
188,Rice Lake
189,Wheatland
190,Waukee
191,Azusa
192,Vermilion
193,Burley
194,Blakely
195,Rome City
196,Chappell Hill
197,Plainville
198,York
199,Fort George G Meade
200,Chesterfield
201,Novato
202,Thomson
203,Tallassee
204,Riverview
205,Bronx
206,Willows
207,Thomaston
208,Winfield
209,Rialto
210,Angleton
211,Arcata
212,Lakeside
213,Lockport
214,Ebensburg
215,Boise
216,Rothschild
217,Bradenton
218,Cantonment
219,Marquette
220,West Bridgewater
221,Brigham City
222,Geneva
223,Reed City
224,Marion
225,Nottingham
226,Solomons
227,Hopland
228,Coshocton
229,West Union
230,Eatonton
231,Sauk City
232,Sykesville
233,Cape Coral
234,Royal Oak
235,Orange Park
236,Laceys Spring
237,Union City
238,Mars Hill
239,Martinsburg
240,Davis
241,Moss Point
242,College Station
243,Sebastopol
244,Milwaukee
245,Albemarle
246,Kaysville
247,Eustis
248,Leeds
249,Mobridge
250,Freedom
251,Stuttgart
252,Statesville
253,Stanton
254,Rutherford
255,Panama City Beach
256,Mandeville
257,Munfordville
258,Wexford
259,College Park
260,Sterling
261,Roma
262,Nederland
263,Hollywood
264,Moses Lake
265,Chino
266,Elmwood
267,Hoopeston
268,Wenatchee
269,Fort Leonard Wood
270,Hardin
271,Perrysburg
272,Grafton
273,Schertz
274,Eatontown
275,Woodburn
276,Miller Place
277,North Palm Beach
278,Folly Beach
279,Saint Clairsville
280,Sun City Center
281,Lake Elsinore
282,Buckley
283,Mount Kisco
284,Hillsville
285,Sierra Vista
286,Amelia
287,Richfield
288,Sand Springs
289,North Wales
290,Levittown
291,Beaver Dam
292,Sidney
293,Waconia
294,Winton
295,Pico Rivera
296,Nine Mile Falls
297,Pamplico
298,Hendersonville
299,Crestview
300,Colorado City
301,Lithonia
302,Rawlins
303,Mahomet
304,Oldsmar
305,Pomeroy
306,Shorter
307,Mount Dora
308,Dansville
309,Greer
310,New Kensington
311,Gilroy
312,Scottsbluff
313,Eveleth
314,Waynesville
315,Patchogue
316,Beulaville
317,Cañon City
318,Belmar
319,Black Mountain
320,Seneca
321,Pueblo
322,Bremen
323,Gila Bend
324,Visalia
325,Americus
326,Jonesville
327,Yorba Linda
328,Bridgeport
329,Lawrence
330,Calhoun
331,Eufaula
332,Lake Forest
333,Goodyear
334,Glen Rock
335,Philadelphia
336,Olmsted Falls
337,Mc Cook
338,Joelton
339,Plano
340,Saint Helens
341,Leetonia
342,Winchester
343,Spartanburg
344,Brooksville
345,Titus
346,Quincy
347,Hopkins
348,Walkertown
349,Bergenfield
350,Port Byron
351,Riverton
352,Slidell
353,Elkins
354,Mauldin
355,Eldridge
356,San Leandro
357,New Holland
358,Moorpark
359,Clementon
360,Alpine
361,Newark
362,Powell
363,Ottumwa
364,Bolingbrook
365,Vienna
366,Green River
367,Trinidad
368,University
369,Mc Lean
370,Inwood
371,Cuba
372,Darlington
373,Temecula
374,Eau Claire
375,Gastonia
376,Corcoran
377,Sebastian
378,Beech Grove
379,Idaho Springs
380,Waterloo
381,Whitley City
382,Fort Eustis
383,Euless
384,Belleville
385,Twinsburg
386,Stamps
387,Attalla
388,Lathrop
389,Carrboro
390,Saint Francisville
391,Spring Branch
392,Baton Rouge
393,Hutchinson
394,Ruckersville
395,Bolivar
396,Chesterland
397,Haughton
398,Kings Mountain
399,Peachtree Corners
400,Angola
401,Wauchula
402,Chino Hills
403,Jonestown
404,Maiden
405,Alliance
406,Schererville
407,Bossier City
408,Essex Junction
409,Pullman
410,Martinez
411,Idaho Falls
412,Shinnston
413,Fitzgerald
414,Waukegan
415,Spotsylvania
416,Encino
417,Walla Walla
418,East Greenwich
419,Bethalto
420,Cordova
421,Flomaton
422,Alto
423,Kingston
424,Annandale
425,Seneca Falls
426,Kenosha
427,Detroit
428,Frostburg
429,Glenn Dale
430,Keystone Heights
431,Ravenswood
432,Newaygo
433,Buckeye
434,Secaucus
435,Seabrook
436,Watsonville
437,Hortonville
438,Williamson
439,Goose Creek
440,Fosston
441,Sutton
442,Clyde
443,South Lake Tahoe
444,Somerset
445,Advance
446,Sun Valley
447,Wildomar
448,Roswell
449,North Royalton
450,Weedsport
451,Hazelwood
452,Iowa
453,Canby
454,Duncan
455,LaGrange
456,Sumner
457,Mena
458,Little Chute
459,Rice
460,Wauseon
461,Hot Springs National Park
462,Canandaigua
463,North Little Rock
464,Torrance
465,Pocola
466,Winter Park
467,West Salem
468,Easton
469,Gonzales
470,Chocowinity
471,Phenix City
472,Ballston Spa
473,Huntington Beach
